iter	Logloss
0	0.6871950676
1	0.6807579572
2	0.6761548081
3	0.6721621554
4	0.668091998
5	0.6629636862
6	0.6585111768
7	0.6525061664
8	0.6483376042
9	0.6436890378
10	0.6401307239
11	0.6348297659
12	0.6305339476
13	0.6274416766
14	0.6234310405
15	0.6195184224
16	0.6139431534
17	0.6100150274
18	0.6074454616
19	0.6043223747
20	0.6005785422
21	0.5970314531
22	0.5924606228
23	0.589092187
24	0.5845666633
25	0.5818420949
26	0.5787692919
27	0.5753740094
28	0.5733763577
29	0.570197688
30	0.5656361786
31	0.5633539064
32	0.5604064082
33	0.5561569824
34	0.5531894336
35	0.5508897529
36	0.5472105756
37	0.5447987979
38	0.5420917063
39	0.5395958428
40	0.5372650596
41	0.5341777851
42	0.532634858
43	0.530891924
44	0.5275793874
45	0.5249601264
46	0.5228771785
47	0.5213583083
48	0.518049088
49	0.5158675175
50	0.5134137256
51	0.5114315694
52	0.5088385827
53	0.5069243057
54	0.5048111217
55	0.502860527
56	0.5012186025
57	0.498891198
58	0.497809434
59	0.4948967346
60	0.4927257969
61	0.4908112268
62	0.48900378
63	0.4879529717
64	0.4866385002
65	0.4848695205
66	0.4831181757
67	0.4814527282
68	0.4799838748
69	0.4782306453
70	0.4763156951
71	0.4750588568
72	0.4738242866
73	0.4722966439
74	0.4709054236
75	0.4694706549
76	0.4675065616
77	0.4661164646
78	0.4650806405
79	0.463669569
80	0.4618375543
81	0.4600315984
82	0.4578623956
83	0.4569031657
84	0.4556215455
85	0.4538866673
86	0.4526139455
87	0.4512860499
88	0.4499760464
89	0.4492899835
90	0.4479634016
91	0.4470434106
92	0.4460572006
93	0.4446635623
94	0.4434774185
95	0.442021894
96	0.4406639828
97	0.4393812788
98	0.4386118716
99	0.436979768
100	0.4358297965
101	0.4348000345
102	0.43373944
103	0.4322833534
104	0.4308323047
105	0.4296301644
106	0.4281352091
107	0.4267136807
108	0.4257188264
109	0.4246005028
110	0.4230255918
111	0.4218768623
112	0.4210298557
113	0.4199709715
114	0.41934124
115	0.4186407563
116	0.4176819737
117	0.4169996754
118	0.4158706916
119	0.4148747264
120	0.4141254625
121	0.4129242241
122	0.4113691986
123	0.4096563052
124	0.4085560273
125	0.4072930646
126	0.4063995575
127	0.4053693124
128	0.4040032762
129	0.4032184971
130	0.4021987529
131	0.4012790008
132	0.4003726168
133	0.3989136491
134	0.3983192255
135	0.3975729008
136	0.3969314545
137	0.3954168408
138	0.394200463
139	0.3933213724
140	0.3926141181
141	0.3918129608
142	0.3909007189
143	0.3905593806
144	0.3894924313
145	0.3885513242
146	0.3877953956
147	0.3868045071
148	0.3859801461
149	0.3847808913
150	0.3833097346
151	0.3826649187
152	0.3821269664
153	0.3812909743
154	0.380753544
155	0.3803356468
156	0.3798207961
157	0.3794256653
158	0.3784231026
159	0.3776800596
160	0.3766741634
161	0.3758296661
162	0.3749911605
163	0.3742890157
164	0.3734654025
165	0.372351572
166	0.3718340238
167	0.3710251841
168	0.3703942564
169	0.3700795348
170	0.3688026941
171	0.3677074033
172	0.3668618904
173	0.3663631101
174	0.3654939616
175	0.365188312
176	0.3638758641
177	0.3631497957
178	0.3628442161
179	0.3618890215
180	0.3610675673
181	0.3603982047
182	0.3598772744
183	0.3594658795
184	0.3591203836
185	0.3583367058
186	0.3580061198
187	0.357286754
188	0.3567977441
189	0.3562578276
190	0.3556725357
191	0.3552623182
192	0.3548214126
193	0.3545471825
194	0.3537943337
195	0.3528928226
196	0.3523757775
197	0.3519734258
198	0.3514149179
199	0.3506992582
200	0.3497957356
201	0.3494236097
202	0.3490711538
